data,tempo,valor
01/06/2025,15:08,"R$ 8,64"
02/06/2025,18:09,"R$ 8,72"
04/06/2025,10:08,"R$ 8,67"
06/06/2025,14:10,"R$ 8,62"
08/06/2025,14:09,"R$ 8,57"
09/06/2025,10:08,"R$ 8,56"
09/06/2025,14:11,"R$ 8,55"
09/06/2025,14:37,"R$ 8,53"
09/06/2025,16:07,"R$ 8,59"
09/06/2025,18:10,"R$ 8,53"
10/06/2025,11:09,"R$ 8,56"
10/06/2025,14:12,"R$ 8,55"
10/06/2025,14:37,"R$ 8,54"
12/06/2025,11:09,"R$ 8,65"
12/06/2025,13:58,"R$ 8,62"
12/06/2025,18:10,"R$ 8,53"
13/06/2025,18:58,"R$ 8,57"
16/06/2025,11:09,"R$ 8,55"
21/06/2025,10:07,"R$ 8,42"
23/06/2025,11:08,"R$ 8,54"
23/06/2025,18:42,"R$ 8,40"
24/06/2025,14:10,"R$ 8,47"
27/06/2025,14:10,"R$ 8,48"
29/06/2025,13:10,"R$ 8,46"
01/07/2025,14:47,"R$ 8,67"
01/07/2025,16:42,"R$ 8,69"
01/07/2025,17:20,"R$ 8,65"
01/07/2025,19:12,"R$ 8,68"
02/07/2025,10:51,"R$ 8,73"
02/07/2025,14:36,"R$ 8,62"
03/07/2025,14:11,"R$ 8,64"
03/07/2025,14:36,"R$ 8,66"
03/07/2025,14:59,"R$ 8,64"
03/07/2025,15:46,"R$ 8,62"
03/07/2025,16:07,"R$ 8,60"
03/07/2025,19:09,"R$ 8,66"
04/07/2025,12:59,"R$ 8,59"
04/07/2025,13:53,"R$ 8,50"
04/07/2025,19:01,"R$ 8,63"
09/07/2025,22:52,"R$ 8,57"
12/07/2025,14:28,"R$ 8,50"
14/07/2025,14:36,"R$ 8,54"
16/07/2025,16:07,"R$ 8,50"
25/07/2025,20:10,"R$ 8,39"
07/08/2025,18:09,"R$ 8,46"
08/08/2025,10:08,"R$ 8,48"
18/08/2025,20:12,"R$ 8,54"
19/08/2025,14:37,"R$ 8,62"
20/08/2025,10:55,"R$ 8,59"
20/08/2025,14:36,"R$ 8,61"
09/09/2025,10:09,"R$ 8,33"
10/09/2025,12:11,"R$ 8,31"
10/09/2025,14:14,"R$ 8,28"
