data,tempo,valor
29/05/2025,19:09,"R$ 160,01"
23/06/2025,02:16,"R$ 156,97"
28/06/2025,12:39,"R$ 157,52"
01/07/2025,16:08,"R$ 155,95"
01/07/2025,16:42,"R$ 156,09"
01/07/2025,17:20,"R$ 156,12"
01/07/2025,17:38,"R$ 156,20"
01/07/2025,19:39,"R$ 156,12"
02/07/2025,10:52,"R$ 156,28"
03/07/2025,15:47,"R$ 156,75"
03/07/2025,16:07,"R$ 156,81"
04/07/2025,13:54,"R$ 156,85"
04/07/2025,19:02,"R$ 157,58"
09/07/2025,22:52,"R$ 155,10"
17/07/2025,14:39,"R$ 155,36"
07/08/2025,21:15,"R$ 151,61"
11/08/2025,21:01,"R$ 152,11"
13/08/2025,16:08,"R$ 151,65"
20/08/2025,10:55,"R$ 151,40"
20/08/2025,14:37,"R$ 151,33"
09/09/2025,10:09,"R$ 155,48"
10/09/2025,12:12,"R$ 155,84"
10/09/2025,14:14,"R$ 156,28"
10/09/2025,14:36,"R$ 156,32"
