data,tempo,valor
20/01/2025 15:32,,"R$ 132,29"
10/01/2025 13:46,,"R$ 133,14"
10/01/2025 11:59,,"R$ 133,08"
10/01/2025 21:10,,"R$ 131,40"
10/01/2025 13:49,,"R$ 133,19"
10/01/2025 11:54,,"R$ 133,30"
10/01/2025 12:06,,"R$ 133,10"
10/01/2025 11:46,,"R$ 133,13"
10/01/2025 11:17,,"R$ 133,50"
10/01/2025 11:13,,"R$ 133,52"
10/01/2025 11:11,,"R$ 133,36"
10/01/2025 11:56,,"R$ 133,27"
10/01/2025 11:22,,"R$ 133,37"
09/01/2025 22:59,,"R$ 131,95"
10/01/2025 11:51,,"R$ 133,10"
10/01/2025 12:09,,"R$ 133,09"
10/01/2025 12:10,,"R$ 133,11"
10/01/2025 11:50,,"R$ 133,02"
24/01/2025 19:22,,"R$ 131,15"
27/01/2025 12:07,,"R$ 130,60"
27/01/2025 14:09,,"R$ 129,55"
27/01/2025 18:08,,"R$ 129,52"
27/01/2025 20:19,,"R$ 129,50"
28/01/2025 11:07,,"R$ 129,58"
28/01/2025 15:05,,"R$ 129,50"
28/01/2025 15:10,,"R$ 129,42"
28/01/2025 17:06,,"R$ 129,34"
28/01/2025 19:08,,"R$ 129,60"
29/01/2025 11:07,,"R$ 129,51"
29/01/2025 12:08,,"R$ 129,66"
29/01/2025 14:10,,"R$ 129,54"
29/01/2025 16:05,,"R$ 129,05"
29/01/2025 17:05,,"R$ 128,75"
29/01/2025 19:07,,"R$ 129,14"
30/01/2025 12:08,,"R$ 129,75"
30/01/2025 20:08,,"R$ 129,20"
31/01/2025 15:11,,"R$ 130,34"
02/02/2025 09:05,,"R$ 131,00"
03/02/2025 11:07,,"R$ 130,86"
03/02/2025 14:09,,"R$ 130,37"
03/02/2025 15:04,,"R$ 129,14"
03/02/2025 15:10,,"R$ 128,79"
03/02/2025 18:07,,"R$ 129,44"
03/02/2025 19:08,,"R$ 129,56"
04/02/2025 11:07,,"R$ 130,63"
04/02/2025 15:05,,"R$ 130,03"
04/02/2025 15:10,,"R$ 129,91"
04/02/2025 16:06,,"R$ 130,09"
04/02/2025 19:08,,"R$ 129,76"
05/02/2025 12:07,,"R$ 130,97"
05/02/2025 14:07,,"R$ 131,19"
05/02/2025 16:06,,"R$ 129,40"
06/02/2025 21:08,,"R$ 130,67"
06/02/2025 12:07,,"R$ 130,76"
06/02/2025 16:05,,"R$ 131,33"
06/02/2025 18:06,,"R$ 130,94"
06/02/2025 19:06,,"R$ 130,69"
07/02/2025 14:07,,"R$ 131,56"
07/02/2025 15:05,,"R$ 131,84"
07/02/2025 17:37,,"R$ 131,69"
07/02/2025 18:13,,"R$ 131,64"
07/02/2025 18:44,,"R$ 131,51"
07/02/2025 19:51,,"R$ 131,69"
09/02/2025 18:05,,"R$ 131,51"
10/02/2025 12:08,,"R$ 131,60"
10/02/2025 14:08,,"R$ 130,97"
10/02/2025 15:05,,"R$ 131,04"
10/02/2025 16:06,,"R$ 130,61"
10/02/2025 18:06,,"R$ 130,20"
11/02/2025 22:07,,"R$ 129,97"
11/02/2025 12:07,,"R$ 130,00"
11/02/2025 14:08,,"R$ 130,10"
11/02/2025 19:07,,"R$ 129,60"
12/02/2025 12:07,,"R$ 130,26"
12/02/2025 14:42,,"R$ 129,72"
12/02/2025 15:05,,"R$ 129,92"
12/02/2025 15:29,,"R$ 130,00"
15/02/2025,00:12,"R$ 131,58"
17/02/2025,22:07,"R$ 133,28"
18/02/2025,22:10,"R$ 133,49"
19/02/2025,14:09,"R$ 134,44"
19/02/2025,21:07,"R$ 133,91"
20/02/2025,14:08,"R$ 135,23"
20/02/2025,15:05,"R$ 135,33"
20/02/2025,16:05,"R$ 135,22"
20/02/2025,18:06,"R$ 134,98"
20/02/2025,19:07,"R$ 134,84"
21/02/2025,22:09,"R$ 135,94"
25/02/2025,22:09,"R$ 134,67"
27/02/2025,09:05,"R$ 134,28"
27/02/2025,12:07,"R$ 134,70"
27/02/2025,14:08,"R$ 134,40"
27/02/2025,15:05,"R$ 134,22"
