data,tempo,valor
30/05/2025,01:53,"R$ 89,89"
30/05/2025,13:14,"R$ 89,94"
30/05/2025,13:15,"R$ 90,04"
30/05/2025,13:25,"R$ 89,99"
30/05/2025,14:03,"R$ 90,00"
30/05/2025,15:06,"R$ 90,14"
30/05/2025,16:07,"R$ 90,00"
30/05/2025,16:42,"R$ 89,89"
30/05/2025,16:48,"R$ 89,93"
30/05/2025,17:01,"R$ 90,00"
30/05/2025,17:08,"R$ 89,99"
30/05/2025,23:21,"R$ 90,10"
02/06/2025,18:10,"R$ 86,25"
04/06/2025,10:08,"R$ 85,93"
06/06/2025,14:11,"R$ 82,91"
08/06/2025,14:10,"R$ 82,07"
09/06/2025,10:09,"R$ 82,32"
09/06/2025,14:11,"R$ 81,71"
09/06/2025,14:37,"R$ 81,70"
09/06/2025,16:08,"R$ 81,61"
09/06/2025,18:10,"R$ 83,17"
10/06/2025,11:10,"R$ 81,83"
10/06/2025,14:12,"R$ 81,53"
12/06/2025,11:09,"R$ 80,96"
12/06/2025,13:59,"R$ 80,54"
12/06/2025,18:10,"R$ 80,95"
13/06/2025,18:58,"R$ 80,90"
16/06/2025,11:10,"R$ 81,54"
21/06/2025,10:08,"R$ 82,04"
23/06/2025,11:09,"R$ 81,90"
23/06/2025,18:57,"R$ 82,47"
24/06/2025,14:11,"R$ 81,78"
25/06/2025,16:13,"R$ 81,57"
25/06/2025,18:39,"R$ 81,25"
27/06/2025,09:34,"R$ 81,23"
27/06/2025,12:05,"R$ 82,18"
27/06/2025,15:04,"R$ 81,83"
27/06/2025,15:09,"R$ 81,81"
29/06/2025,13:13,"R$ 82,68"
01/07/2025,16:46,"R$ 80,25"
01/07/2025,17:40,"R$ 80,20"
02/07/2025,10:54,"R$ 81,03"
03/07/2025,15:49,"R$ 80,50"
04/07/2025,13:56,"R$ 80,73"
09/07/2025,22:55,"R$ 80,30"
07/08/2025,21:46,"R$ 68,15"
11/08/2025,21:04,"R$ 70,26"
13/08/2025,16:12,"R$ 70,10"
20/08/2025,14:40,"R$ 70,08"
09/09/2025,10:11,"R$ 69,98"
10/09/2025,12:14,"R$ 69,45"
10/09/2025,14:17,"R$ 69,50"
10/09/2025,14:38,"R$ 69,46"
