data,tempo,valor
14/06/2025,23:43,"R$ 32,53"
16/06/2025,11:12,"R$ 32,88"
21/06/2025,10:09,"R$ 32,85"
23/06/2025,11:11,"R$ 32,94"
24/06/2025,10:10,"R$ 32,00"
24/06/2025,14:13,"R$ 31,51"
27/06/2025,09:33,"R$ 31,46"
27/06/2025,12:05,"R$ 31,33"
27/06/2025,14:12,"R$ 31,23"
27/06/2025,14:57,"R$ 31,31"
27/06/2025,15:04,"R$ 31,28"
27/06/2025,15:24,"R$ 31,30"
27/06/2025,15:34,"R$ 31,26"
30/06/2025,19:03,"R$ 31,39"
01/07/2025,15:01,"R$ 31,44"
01/07/2025,16:45,"R$ 31,49"
01/07/2025,17:04,"R$ 31,48"
01/07/2025,17:39,"R$ 31,49"
01/07/2025,19:05,"R$ 31,44"
02/07/2025,10:54,"R$ 31,69"
02/07/2025,11:06,"R$ 31,58"
02/07/2025,15:03,"R$ 32,24"
03/07/2025,13:07,"R$ 32,23"
03/07/2025,15:03,"R$ 32,27"
03/07/2025,15:48,"R$ 32,19"
03/07/2025,15:56,"R$ 32,22"
03/07/2025,16:09,"R$ 32,21"
03/07/2025,17:04,"R$ 32,19"
04/07/2025,09:02,"R$ 32,16"
04/07/2025,11:04,"R$ 32,06"
04/07/2025,13:05,"R$ 32,22"
04/07/2025,13:29,"R$ 32,18"
04/07/2025,13:55,"R$ 32,17"
04/07/2025,15:03,"R$ 32,18"
04/07/2025,21:08,"R$ 32,16"
07/07/2025,21:09,"R$ 32,05"
09/07/2025,22:35,"R$ 32,03"
10/07/2025,11:14,"R$ 31,87"
10/07/2025,23:14,"R$ 32,22"
11/07/2025,13:05,"R$ 32,66"
12/07/2025,13:13,"R$ 32,60"
14/07/2025,11:04,"R$ 32,54"
14/07/2025,15:03,"R$ 32,22"
15/07/2025,15:34,"R$ 32,07"
15/07/2025,21:09,"R$ 31,91"
16/07/2025,09:03,"R$ 31,95"
16/07/2025,15:21,"R$ 31,81"
16/07/2025,15:33,"R$ 31,79"
16/07/2025,15:41,"R$ 31,73"
17/07/2025,09:03,"R$ 31,76"
17/07/2025,14:41,"R$ 31,51"
17/07/2025,15:03,"R$ 31,45"
18/07/2025,09:34,"R$ 31,44"
18/07/2025,11:14,"R$ 31,46"
18/07/2025,15:03,"R$ 30,67"
21/07/2025,09:33,"R$ 30,99"
21/07/2025,13:07,"R$ 31,12"
21/07/2025,15:03,"R$ 31,06"
21/07/2025,21:07,"R$ 30,99"
22/07/2025,17:05,"R$ 31,30"
24/07/2025,09:03,"R$ 32,00"
25/07/2025,09:33,"R$ 31,96"
25/07/2025,11:04,"R$ 32,02"
25/07/2025,17:05,"R$ 32,05"
28/07/2025,09:34,"R$ 31,98"
29/07/2025,15:03,"R$ 32,47"
30/07/2025,09:03,"R$ 32,44"
30/07/2025,11:11,"R$ 32,42"
30/07/2025,12:00,"R$ 32,30"
30/07/2025,15:34,"R$ 32,55"
31/07/2025,15:33,"R$ 32,52"
06/08/2025,23:25,"R$ 32,30"
07/08/2025,09:33,"R$ 32,35"
07/08/2025,15:33,"R$ 32,81"
07/08/2025,17:05,"R$ 32,54"
07/08/2025,21:08,"R$ 32,58"
08/08/2025,09:34,"R$ 32,53"
08/08/2025,15:03,"R$ 30,82"
08/08/2025,15:03,"R$ 30,81"
08/08/2025,15:33,"R$ 30,95"
08/08/2025,17:05,"R$ 30,59"
11/08/2025,21:03,"R$ 30,68"
13/08/2025,15:03,"R$ 30,53"
13/08/2025,15:33,"R$ 30,55"
13/08/2025,16:11,"R$ 30,56"
13/08/2025,17:04,"R$ 30,53"
13/08/2025,21:08,"R$ 30,60"
20/08/2025,09:05,"R$ 30,04"
20/08/2025,14:40,"R$ 30,28"
26/08/2025,09:36,"R$ 30,64"
29/08/2025,13:11,"R$ 31,30"
03/09/2025,21:12,"R$ 31,05"
09/09/2025,09:04,"R$ 30,65"
09/09/2025,11:07,"R$ 31,07"
09/09/2025,11:41,"R$ 31,01"
09/09/2025,13:10,"R$ 31,03"
09/09/2025,15:03,"R$ 31,08"
09/09/2025,17:04,"R$ 31,00"
10/09/2025,09:04,"R$ 30,96"
10/09/2025,11:07,"R$ 31,23"
10/09/2025,12:14,"R$ 31,18"
10/09/2025,13:10,"R$ 31,29"
10/09/2025,13:35,"R$ 31,39"
10/09/2025,14:16,"R$ 31,41"
10/09/2025,14:38,"R$ 31,51"
10/09/2025,15:40,"R$ 31,45"
11/09/2025,09:04,"R$ 31,51"
11/09/2025,21:08,"R$ 31,36"
20/09/2025,11:25,"R$ 31,00"
