data,tempo,valor
14/05/2025,21:21,"R$ 91,30"
15/05/2025,11:05,"R$ 91,82"
15/05/2025,14:08,"R$ 92,00"
15/05/2025,18:08,"R$ 92,23"
15/05/2025,20:36,"R$ 92,20"
16/05/2025,11:06,"R$ 92,44"
16/05/2025,12:07,"R$ 92,80"
16/05/2025,14:07,"R$ 92,64"
16/05/2025,15:04,"R$ 92,31"
16/05/2025,15:22,"R$ 92,48"
16/05/2025,15:47,"R$ 92,49"
16/05/2025,16:06,"R$ 92,51"
16/05/2025,16:26,"R$ 92,57"
16/05/2025,16:35,"R$ 92,55"
16/05/2025,16:44,"R$ 92,53"
16/05/2025,16:54,"R$ 92,47"
16/05/2025,17:54,"R$ 92,10"
16/05/2025,19:06,"R$ 92,06"
19/05/2025,21:08,"R$ 92,02"
22/05/2025,21:08,"R$ 91,92"
24/05/2025,19:07,"R$ 92,92"
26/05/2025,11:06,"R$ 92,85"
26/05/2025,16:06,"R$ 92,95"
26/05/2025,18:06,"R$ 92,69"
26/05/2025,19:07,"R$ 92,95"
27/05/2025,18:07,"R$ 92,43"
28/05/2025,11:06,"R$ 92,37"
29/05/2025,12:07,"R$ 92,75"
29/05/2025,16:06,"R$ 93,01"
29/05/2025,19:08,"R$ 92,98"
30/05/2025,15:06,"R$ 93,48"
30/05/2025,16:07,"R$ 93,56"
30/05/2025,16:41,"R$ 93,85"
30/05/2025,16:46,"R$ 93,87"
30/05/2025,17:00,"R$ 93,99"
30/05/2025,17:08,"R$ 94,00"
30/05/2025,23:21,"R$ 93,95"
02/06/2025,15:03,"R$ 92,81"
02/06/2025,15:33,"R$ 92,94"
02/06/2025,17:04,"R$ 92,75"
02/06/2025,18:11,"R$ 92,58"
03/06/2025,09:03,"R$ 92,94"
03/06/2025,15:03,"R$ 92,12"
03/06/2025,15:33,"R$ 92,23"
03/06/2025,17:03,"R$ 92,35"
03/06/2025,21:06,"R$ 92,49"
04/06/2025,15:03,"R$ 92,92"
04/06/2025,15:33,"R$ 92,66"
04/06/2025,17:03,"R$ 92,52"
04/06/2025,21:06,"R$ 92,50"
05/06/2025,09:03,"R$ 92,43"
05/06/2025,15:03,"R$ 92,48"
05/06/2025,15:33,"R$ 92,60"
05/06/2025,17:04,"R$ 92,64"
05/06/2025,21:06,"R$ 92,75"
06/06/2025,14:12,"R$ 92,86"
06/06/2025,15:03,"R$ 92,71"
06/06/2025,21:06,"R$ 92,77"
09/06/2025,09:03,"R$ 92,80"
09/06/2025,14:13,"R$ 92,78"
09/06/2025,14:39,"R$ 92,61"
09/06/2025,15:03,"R$ 92,65"
09/06/2025,15:33,"R$ 92,50"
09/06/2025,17:04,"R$ 92,24"
09/06/2025,17:34,"R$ 92,59"
09/06/2025,18:11,"R$ 92,35"
09/06/2025,21:06,"R$ 92,59"
10/06/2025,11:11,"R$ 91,90"
10/06/2025,14:13,"R$ 91,95"
12/06/2025,11:11,"R$ 89,91"
12/06/2025,14:00,"R$ 90,16"
12/06/2025,18:12,"R$ 90,60"
13/06/2025,18:59,"R$ 90,88"
16/06/2025,11:11,"R$ 91,27"
21/06/2025,10:09,"R$ 91,59"
23/06/2025,11:10,"R$ 92,24"
23/06/2025,18:59,"R$ 92,00"
24/06/2025,10:10,"R$ 92,03"
24/06/2025,14:12,"R$ 92,80"
27/06/2025,14:12,"R$ 93,97"
29/06/2025,13:12,"R$ 94,24"
01/07/2025,16:10,"R$ 93,48"
01/07/2025,16:44,"R$ 93,51"
01/07/2025,17:39,"R$ 93,90"
02/07/2025,10:53,"R$ 93,87"
03/07/2025,15:48,"R$ 93,41"
03/07/2025,16:08,"R$ 93,45"
04/07/2025,13:55,"R$ 94,34"
09/07/2025,22:53,"R$ 93,82"
17/07/2025,14:40,"R$ 93,94"
07/08/2025,21:44,"R$ 89,20"
11/08/2025,21:02,"R$ 89,96"
13/08/2025,16:10,"R$ 89,77"
20/08/2025,10:57,"R$ 89,99"
20/08/2025,10:58,"R$ 89,98"
20/08/2025,11:01,"R$ 89,97"
20/08/2025,14:39,"R$ 89,30"
09/09/2025,10:10,"R$ 92,43"
10/09/2025,12:13,"R$ 92,60"
10/09/2025,14:16,"R$ 92,86"
10/09/2025,14:37,"R$ 92,82"
