data,tempo,valor
14/05/2025,22:17,"R$ 89,45"
15/05/2025,11:05,"R$ 89,50"
15/05/2025,14:07,"R$ 89,69"
15/05/2025,17:45,"R$ 90,00"
15/05/2025,18:08,"R$ 89,99"
16/05/2025,11:05,"R$ 90,00"
16/05/2025,12:06,"R$ 89,91"
16/05/2025,14:07,"R$ 90,17"
16/05/2025,15:04,"R$ 90,50"
16/05/2025,15:20,"R$ 90,64"
16/05/2025,15:21,"R$ 90,62"
16/05/2025,15:47,"R$ 90,39"
16/05/2025,15:50,"R$ 90,32"
16/05/2025,16:06,"R$ 90,15"
16/05/2025,16:26,"R$ 90,25"
16/05/2025,16:35,"R$ 90,05"
16/05/2025,16:44,"R$ 89,64"
16/05/2025,16:54,"R$ 89,71"
16/05/2025,17:54,"R$ 89,79"
16/05/2025,19:06,"R$ 89,83"
19/05/2025,21:08,"R$ 90,29"
22/05/2025,21:08,"R$ 90,58"
24/05/2025,19:07,"R$ 89,87"
26/05/2025,11:06,"R$ 90,02"
26/05/2025,16:05,"R$ 89,83"
26/05/2025,18:06,"R$ 89,80"
26/05/2025,19:07,"R$ 89,66"
27/05/2025,18:06,"R$ 89,51"
27/05/2025,19:07,"R$ 89,41"
28/05/2025,11:06,"R$ 89,71"
28/05/2025,19:07,"R$ 89,75"
29/05/2025,12:07,"R$ 89,69"
29/05/2025,16:05,"R$ 89,24"
29/05/2025,19:08,"R$ 89,94"
30/05/2025,15:05,"R$ 90,16"
30/05/2025,16:06,"R$ 90,29"
30/05/2025,16:41,"R$ 90,23"
30/05/2025,16:47,"R$ 90,19"
30/05/2025,17:00,"R$ 90,00"
30/05/2025,17:07,"R$ 89,98"
30/05/2025,23:20,"R$ 89,99"
02/06/2025,14:34,"R$ 89,33"
02/06/2025,16:04,"R$ 88,64"
02/06/2025,18:06,"R$ 88,70"
03/06/2025,11:03,"R$ 88,77"
03/06/2025,11:11,"R$ 88,55"
03/06/2025,18:05,"R$ 88,84"
04/06/2025,11:05,"R$ 89,00"
04/06/2025,16:04,"R$ 88,47"
04/06/2025,18:05,"R$ 88,29"
05/06/2025,16:04,"R$ 88,14"
05/06/2025,18:06,"R$ 88,52"
06/06/2025,11:05,"R$ 88,80"
06/06/2025,14:07,"R$ 88,53"
06/06/2025,14:33,"R$ 88,47"
06/06/2025,16:05,"R$ 88,19"
07/06/2025,10:04,"R$ 88,63"
09/06/2025,10:05,"R$ 88,60"
09/06/2025,11:05,"R$ 88,44"
09/06/2025,14:05,"R$ 88,10"
09/06/2025,14:07,"R$ 88,04"
09/06/2025,14:33,"R$ 88,01"
09/06/2025,16:04,"R$ 88,10"
09/06/2025,18:06,"R$ 87,39"
10/06/2025,10:05,"R$ 86,96"
10/06/2025,11:06,"R$ 86,23"
