data,tempo,valor
20/01/2025 15:31,,"R$ 91,80"
10/01/2025 13:48,,"R$ 92,66"
10/01/2025 13:44,,"R$ 92,60"
10/01/2025 12:08,,"R$ 92,38"
20/01/2025 15:38,,"R$ 91,68"
10/01/2025 12:10,,"R$ 92,35"
10/01/2025 14:11,,"R$ 92,61"
10/01/2025 12:03,,"R$ 92,38"
10/01/2025 12:06,,"R$ 92,36"
10/01/2025 13:24,,"R$ 92,80"
10/01/2025 13:33,,"R$ 92,54"
10/01/2025 21:05,,"R$ 92,20"
10/01/2025 11:49,,"R$ 92,22"
10/01/2025 13:53,,"R$ 92,45"
10/01/2025 11:23,,"R$ 92,10"
10/01/2025 12:11,,"R$ 92,23"
10/01/2025 11:58,,"R$ 92,24"
10/01/2025 11:46,,"R$ 92,24"
10/01/2025 13:38,,"R$ 92,70"
10/01/2025 11:55,,"R$ 92,19"
10/01/2025 11:54,,"R$ 92,10"
10/01/2025 11:47,,"R$ 92,19"
10/01/2025 11:22,,"R$ 91,99"
10/01/2025 11:12,,"R$ 91,99"
10/01/2025 11:59,,"R$ 92,21"
09/01/2025 23:59,,"R$ 91,66"
10/01/2025 11:11,,"R$ 91,94"
10/01/2025 11:16,,"R$ 91,96"
24/01/2025 17:56,,"R$ 91,22"
24/01/2025 18:07,,"R$ 91,15"
24/01/2025 18:34,,"R$ 91,14"
27/01/2025 09:11,,"R$ 91,29"
27/01/2025 12:06,,"R$ 91,45"
27/01/2025 14:08,,"R$ 91,42"
27/01/2025 15:08,,"R$ 91,46"
27/01/2025 15:18,,"R$ 91,40"
27/01/2025 16:04,,"R$ 91,45"
27/01/2025 17:05,,"R$ 91,32"
27/01/2025 18:06,,"R$ 91,12"
27/01/2025 20:17,,"R$ 91,11"
28/01/2025 11:06,,"R$ 91,23"
28/01/2025 13:07,,"R$ 90,57"
28/01/2025 14:08,,"R$ 90,43"
28/01/2025 15:03,,"R$ 90,42"
28/01/2025 15:09,,"R$ 90,44"
28/01/2025 16:04,,"R$ 89,80"
28/01/2025 17:05,,"R$ 90,31"
28/01/2025 18:06,,"R$ 90,20"
28/01/2025 19:07,,"R$ 90,00"
29/01/2025 11:06,,"R$ 90,10"
29/01/2025 12:07,,"R$ 90,46"
29/01/2025 13:07,,"R$ 91,48"
29/01/2025 14:09,,"R$ 91,43"
29/01/2025 15:03,,"R$ 90,86"
29/01/2025 15:10,,"R$ 90,64"
29/01/2025 16:04,,"R$ 90,03"
29/01/2025 17:04,,"R$ 89,00"
29/01/2025 19:06,,"R$ 89,10"
30/01/2025 12:06,,"R$ 89,31"
30/01/2025 20:07,,"R$ 90,00"
31/01/2025 15:09,,"R$ 90,59"
02/02/2025 09:04,,"R$ 90,73"
03/02/2025 11:05,,"R$ 89,99"
03/02/2025 14:08,,"R$ 89,58"
03/02/2025 15:03,,"R$ 89,15"
03/02/2025 15:09,,"R$ 89,24"
03/02/2025 16:04,,"R$ 89,61"
03/02/2025 17:04,,"R$ 90,27"
03/02/2025 18:05,,"R$ 90,00"
04/02/2025 11:05,,"R$ 90,83"
04/02/2025 12:06,,"R$ 90,67"
04/02/2025 14:08,,"R$ 91,79"
04/02/2025 15:04,,"R$ 91,40"
04/02/2025 15:09,,"R$ 91,43"
04/02/2025 16:05,,"R$ 90,99"
04/02/2025 18:06,,"R$ 91,41"
04/02/2025 19:07,,"R$ 91,82"
05/02/2025 12:05,,"R$ 89,44"
05/02/2025 14:06,,"R$ 90,40"
05/02/2025 16:04,,"R$ 90,17"
05/02/2025 18:05,,"R$ 90,01"
06/02/2025 21:06,,"R$ 89,94"
06/02/2025 12:06,,"R$ 90,70"
06/02/2025 16:04,,"R$ 89,52"
06/02/2025 18:05,,"R$ 89,78"
06/02/2025 19:05,,"R$ 89,64"
07/02/2025 12:05,,"R$ 89,78"
07/02/2025 14:06,,"R$ 90,30"
07/02/2025 15:03,,"R$ 90,34"
07/02/2025 17:36,,"R$ 90,18"
07/02/2025 18:10,,"R$ 90,39"
07/02/2025 18:41,,"R$ 91,00"
07/02/2025 20:18,,"R$ 90,39"
10/02/2025 12:06,,"R$ 90,95"
10/02/2025 14:07,,"R$ 89,94"
10/02/2025 15:03,,"R$ 89,67"
10/02/2025 16:04,,"R$ 90,19"
10/02/2025 18:05,,"R$ 89,79"
10/02/2025 19:05,,"R$ 89,55"
11/02/2025 12:06,,"R$ 89,96"
11/02/2025 14:07,,"R$ 90,09"
11/02/2025 15:03,,"R$ 89,89"
11/02/2025 19:05,,"R$ 90,00"
12/02/2025 12:05,,"R$ 90,76"
12/02/2025 14:06,,"R$ 90,43"
12/02/2025 14:39,,"R$ 90,52"
12/02/2025 15:03,,"R$ 90,39"
12/02/2025 15:27,,"R$ 90,28"
12/02/2025 15:49,,"R$ 90,16"
15/02/2025,00:11,"R$ 90,24"
17/02/2025,22:06,"R$ 92,27"
18/02/2025,22:08,"R$ 93,18"
19/02/2025,14:08,"R$ 93,30"
19/02/2025,21:06,"R$ 93,77"
20/02/2025,15:03,"R$ 93,95"
20/02/2025,16:04,"R$ 93,92"
20/02/2025,18:05,"R$ 93,90"
20/02/2025,19:05,"R$ 94,19"
21/02/2025,22:07,"R$ 96,26"
25/02/2025,22:07,"R$ 95,52"
26/02/2025,21:52,"R$ 93,30"
27/02/2025,12:06,"R$ 92,86"
27/02/2025,14:07,"R$ 92,38"
27/02/2025,15:03,"R$ 92,51"
27/02/2025,16:03,"R$ 92,64"
27/02/2025,18:04,"R$ 93,00"
27/02/2025,19:05,"R$ 93,06"
28/02/2025,12:05,"R$ 92,18"
28/02/2025,14:06,"R$ 92,17"
28/02/2025,16:03,"R$ 92,16"
28/02/2025,18:04,"R$ 92,41"
28/02/2025,19:05,"R$ 91,85"
28/02/2025,21:06,"R$ 92,40"
08/03/2025,19:16,"R$ 91,57"
09/03/2025,19:07,"R$ 91,99"
11/03/2025,09:07,"R$ 92,18"
11/03/2025,19:05,"R$ 92,36"
12/03/2025,19:05,"R$ 92,88"
13/03/2025,22:08,"R$ 92,79"
14/03/2025,22:06,"R$ 93,18"
19/03/2025,19:13,"R$ 95,40"
20/03/2025,12:06,"R$ 95,36"
20/03/2025,14:07,"R$ 95,13"
20/03/2025,18:05,"R$ 95,50"
20/03/2025,19:06,"R$ 95,20"
21/03/2025,14:07,"R$ 95,35"
21/03/2025,19:05,"R$ 94,01"
24/03/2025,12:06,"R$ 94,46"
24/03/2025,21:06,"R$ 94,24"
25/03/2025,14:06,"R$ 94,30"
25/03/2025,16:05,"R$ 94,34"
25/03/2025,18:05,"R$ 94,40"
25/03/2025,19:05,"R$ 94,58"
26/03/2025,09:04,"R$ 94,50"
26/03/2025,16:04,"R$ 94,30"
26/03/2025,18:05,"R$ 94,82"
26/03/2025,19:05,"R$ 94,57"
27/03/2025,16:04,"R$ 96,01"
27/03/2025,19:06,"R$ 95,61"
28/03/2025,10:05,"R$ 95,80"
28/03/2025,15:20,"R$ 96,89"
28/03/2025,15:59,"R$ 96,60"
28/03/2025,16:04,"R$ 96,59"
28/03/2025,16:21,"R$ 96,85"
28/03/2025,18:05,"R$ 97,08"
28/03/2025,22:06,"R$ 97,48"
31/03/2025,14:06,"R$ 97,62"
31/03/2025,22:08,"R$ 97,90"
01/04/2025,09:04,"R$ 97,80"
01/04/2025,12:06,"R$ 96,65"
01/04/2025,14:07,"R$ 96,60"
01/04/2025,16:04,"R$ 96,69"
01/04/2025,18:04,"R$ 96,70"
01/04/2025,19:05,"R$ 96,53"
02/04/2025,09:04,"R$ 96,85"
02/04/2025,16:03,"R$ 96,01"
03/04/2025,10:05,"R$ 96,21"
03/04/2025,12:06,"R$ 95,71"
03/04/2025,18:04,"R$ 96,19"
04/04/2025,14:06,"R$ 94,00"
04/04/2025,15:04,"R$ 94,79"
04/04/2025,16:04,"R$ 94,74"
04/04/2025,18:04,"R$ 94,80"
07/04/2025,16:04,"R$ 94,71"
07/04/2025,18:05,"R$ 94,80"
08/04/2025,14:05,"R$ 94,11"
09/04/2025,20:29,"R$ 93,82"
15/04/2025,09:02,"R$ 94,30"
19/04/2025,15:03,"R$ 97,67"
22/04/2025,14:06,"R$ 98,99"
22/04/2025,15:03,"R$ 98,88"
22/04/2025,15:13,"R$ 98,77"
22/04/2025,15:21,"R$ 98,88"
22/04/2025,15:25,"R$ 98,78"
22/04/2025,16:03,"R$ 98,65"
22/04/2025,18:12,"R$ 99,02"
22/04/2025,18:24,"R$ 98,80"
23/04/2025,12:04,"R$ 100,15"
24/04/2025,14:04,"R$ 99,24"
24/04/2025,15:03,"R$ 99,48"
24/04/2025,16:04,"R$ 99,50"
24/04/2025,18:05,"R$ 99,64"
24/04/2025,19:05,"R$ 99,40"
25/04/2025,09:03,"R$ 99,44"
26/04/2025,09:03,"R$ 103,00"
28/04/2025,09:03,"R$ 102,95"
28/04/2025,12:04,"R$ 101,78"
28/04/2025,14:05,"R$ 102,10"
28/04/2025,15:04,"R$ 102,15"
28/04/2025,16:04,"R$ 102,52"
28/04/2025,18:05,"R$ 102,69"
28/04/2025,21:07,"R$ 102,44"
29/04/2025,12:05,"R$ 101,99"
29/04/2025,15:03,"R$ 102,53"
29/04/2025,16:04,"R$ 102,01"
29/04/2025,19:02,"R$ 102,39"
30/04/2025,12:05,"R$ 101,40"
30/04/2025,14:05,"R$ 101,30"
30/04/2025,15:03,"R$ 101,38"
30/04/2025,16:05,"R$ 101,25"
30/04/2025,18:05,"R$ 101,16"
30/04/2025,19:06,"R$ 101,40"
02/05/2025,12:04,"R$ 100,22"
02/05/2025,21:06,"R$ 100,10"
05/05/2025,12:07,"R$ 99,63"
05/05/2025,14:05,"R$ 99,12"
05/05/2025,15:05,"R$ 98,80"
05/05/2025,16:10,"R$ 98,88"
05/05/2025,18:05,"R$ 98,65"
05/05/2025,19:11,"R$ 98,64"
06/05/2025,11:11,"R$ 98,00"
06/05/2025,12:04,"R$ 98,09"
06/05/2025,14:05,"R$ 97,90"
06/05/2025,16:03,"R$ 97,67"
06/05/2025,18:04,"R$ 97,73"
06/05/2025,19:05,"R$ 97,74"
07/05/2025,10:10,"R$ 97,50"
07/05/2025,11:04,"R$ 96,66"
07/05/2025,12:05,"R$ 96,71"
07/05/2025,14:06,"R$ 96,66"
07/05/2025,15:03,"R$ 96,82"
07/05/2025,16:03,"R$ 96,80"
10/05/2025,10:03,"R$ 98,93"
12/05/2025,11:04,"R$ 98,35"
12/05/2025,12:04,"R$ 98,20"
12/05/2025,14:05,"R$ 97,81"
12/05/2025,15:03,"R$ 97,88"
12/05/2025,18:04,"R$ 97,59"
12/05/2025,21:05,"R$ 97,82"
13/05/2025,11:04,"R$ 97,60"
13/05/2025,12:05,"R$ 97,34"
13/05/2025,14:06,"R$ 97,52"
13/05/2025,15:03,"R$ 97,42"
13/05/2025,16:04,"R$ 97,38"
13/05/2025,18:04,"R$ 97,63"
13/05/2025,19:05,"R$ 97,60"
14/05/2025,14:05,"R$ 97,65"
14/05/2025,15:03,"R$ 97,22"
14/05/2025,16:03,"R$ 97,15"
14/05/2025,18:04,"R$ 97,14"
14/05/2025,19:04,"R$ 97,27"
15/05/2025,11:03,"R$ 97,60"
15/05/2025,14:05,"R$ 98,08"
15/05/2025,14:06,"R$ 98,06"
15/05/2025,16:04,"R$ 97,91"
15/05/2025,17:32,"R$ 98,20"
15/05/2025,17:41,"R$ 98,04"
15/05/2025,18:02,"R$ 98,19"
16/05/2025,11:04,"R$ 98,45"
16/05/2025,12:04,"R$ 98,41"
16/05/2025,15:03,"R$ 98,42"
16/05/2025,16:04,"R$ 98,41"
16/05/2025,16:24,"R$ 98,42"
16/05/2025,16:34,"R$ 98,66"
16/05/2025,16:42,"R$ 98,62"
16/05/2025,16:53,"R$ 98,58"
16/05/2025,17:38,"R$ 98,59"
16/05/2025,19:05,"R$ 98,28"
19/05/2025,21:06,"R$ 98,84"
20/05/2025,11:04,"R$ 99,35"
20/05/2025,12:08,"R$ 99,16"
20/05/2025,14:06,"R$ 99,25"
22/05/2025,10:03,"R$ 100,32"
22/05/2025,12:05,"R$ 99,24"
22/05/2025,18:04,"R$ 99,99"
22/05/2025,21:06,"R$ 99,61"
23/05/2025,16:04,"R$ 100,54"
23/05/2025,18:04,"R$ 100,01"
23/05/2025,19:06,"R$ 100,20"
26/05/2025,11:04,"R$ 99,87"
26/05/2025,12:04,"R$ 99,90"
26/05/2025,15:03,"R$ 99,92"
26/05/2025,16:04,"R$ 99,96"
26/05/2025,18:04,"R$ 99,98"
26/05/2025,19:05,"R$ 100,24"
27/05/2025,10:03,"R$ 99,97"
27/05/2025,12:05,"R$ 99,80"
27/05/2025,15:03,"R$ 99,88"
27/05/2025,18:04,"R$ 99,69"
27/05/2025,19:05,"R$ 99,70"
28/05/2025,11:04,"R$ 100,20"
28/05/2025,16:03,"R$ 100,02"
28/05/2025,18:04,"R$ 99,70"
29/05/2025,12:05,"R$ 100,19"
29/05/2025,15:03,"R$ 100,28"
29/05/2025,15:47,"R$ 100,27"
29/05/2025,16:04,"R$ 100,20"
29/05/2025,16:53,"R$ 100,26"
29/05/2025,19:06,"R$ 100,60"
30/05/2025,13:25,"R$ 101,32"
30/05/2025,13:30,"R$ 101,33"
30/05/2025,13:57,"R$ 101,74"
30/05/2025,15:03,"R$ 101,61"
30/05/2025,16:04,"R$ 101,57"
30/05/2025,16:42,"R$ 101,60"
30/05/2025,16:48,"R$ 101,67"
30/05/2025,16:58,"R$ 101,68"
30/05/2025,17:05,"R$ 101,77"
30/05/2025,17:12,"R$ 101,78"
30/05/2025,20:55,"R$ 101,68"
02/06/2025,10:05,"R$ 100,83"
02/06/2025,18:07,"R$ 99,67"
04/06/2025,10:06,"R$ 99,51"
04/06/2025,11:06,"R$ 99,65"
04/06/2025,16:06,"R$ 99,30"
04/06/2025,18:06,"R$ 99,46"
05/06/2025,16:06,"R$ 99,04"
06/06/2025,14:08,"R$ 98,92"
07/06/2025,10:05,"R$ 98,65"
09/06/2025,11:07,"R$ 98,38"
09/06/2025,14:09,"R$ 97,97"
09/06/2025,14:35,"R$ 97,81"
09/06/2025,16:05,"R$ 97,93"
09/06/2025,18:08,"R$ 97,88"
10/06/2025,11:07,"R$ 97,70"
10/06/2025,14:10,"R$ 97,22"
10/06/2025,14:35,"R$ 97,38"
11/06/2025,16:40,"R$ 97,16"
11/06/2025,16:49,"R$ 97,44"
12/06/2025,11:07,"R$ 97,25"
12/06/2025,13:56,"R$ 96,80"
12/06/2025,18:08,"R$ 97,60"
13/06/2025,18:30,"R$ 98,54"
16/06/2025,11:07,"R$ 98,41"
16/06/2025,16:06,"R$ 98,39"
19/06/2025,19:14,"R$ 98,10"
20/06/2025,22:12,"R$ 97,20"
23/06/2025,11:06,"R$ 97,16"
23/06/2025,18:40,"R$ 97,89"
24/06/2025,10:05,"R$ 97,79"
24/06/2025,11:06,"R$ 98,23"
24/06/2025,14:08,"R$ 97,92"
27/06/2025,14:08,"R$ 99,68"
27/06/2025,14:52,"R$ 99,88"
28/06/2025,11:06,"R$ 99,99"
01/07/2025,14:45,"R$ 99,72"
01/07/2025,15:10,"R$ 99,74"
01/07/2025,15:35,"R$ 99,75"
01/07/2025,16:05,"R$ 99,30"
01/07/2025,16:39,"R$ 98,70"
01/07/2025,17:18,"R$ 99,04"
01/07/2025,18:44,"R$ 98,21"
02/07/2025,10:50,"R$ 100,37"
02/07/2025,14:34,"R$ 99,65"
03/07/2025,14:10,"R$ 99,29"
03/07/2025,14:34,"R$ 99,38"
03/07/2025,14:57,"R$ 99,29"
03/07/2025,15:44,"R$ 99,37"
03/07/2025,16:05,"R$ 99,34"
03/07/2025,18:06,"R$ 99,83"
04/07/2025,12:06,"R$ 100,30"
04/07/2025,12:54,"R$ 100,41"
04/07/2025,13:45,"R$ 100,40"
04/07/2025,13:51,"R$ 100,43"
04/07/2025,18:42,"R$ 100,52"
04/07/2025,18:52,"R$ 100,40"
08/07/2025,10:05,"R$ 100,35"
09/07/2025,22:50,"R$ 100,00"
10/07/2025,14:36,"R$ 100,06"
12/07/2025,14:26,"R$ 100,14"
14/07/2025,14:34,"R$ 99,90"
15/07/2025,14:08,"R$ 99,57"
15/07/2025,18:08,"R$ 99,53"
16/07/2025,16:05,"R$ 99,60"
17/07/2025,14:37,"R$ 99,77"
24/07/2025,16:05,"R$ 98,01"
24/07/2025,20:13,"R$ 98,13"
25/07/2025,16:40,"R$ 99,00"
25/07/2025,20:08,"R$ 98,99"
29/07/2025,10:05,"R$ 98,20"
